DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
"Developer, full-stack",Nigeria,,,,,,,
"Developer, back-end",Netherlands,"10,000 or more employees",2,42000.0,C#;HTML/CSS;SQL,MSBuild;NuGet;Visual Studio Solution,Microsoft Azure;VMware,.NET (5+) 
"Developer, full-stack",Germany,"1,000 to 4,999 employees",12,75000.0,C#;Go;Java;PowerShell;Python;Rust,Ant;APT;Docker;Maven (build tool);MSBuild;npm;NuGet;Visual Studio Solution,Hetzner;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Quarkus;RabbitMQ;Roslyn
,,,,,,,,
"Senior Executive (C-Suite, VP, etc.)",United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees",16,100000.0,C#;HTML/CSS;JavaScript;PHP;SQL;VBA,Ansible;Docker;Kubernetes,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,
,,,,,Go;HTML/CSS;JavaScript;Lua;PHP;Python;SQL;Zig,,Vercel,
Security professional,Germany,"10,000 or more employees",7,100000.0,Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;Python;Rust,Ansible;Ant;Docker;Make;Pip;Puppet,,
DevOps specialist,Spain,2 to 9 employees,15,58000.0,Bash/Shell (all shells);PHP;Python;SQL,Ansible;Docker;Kubernetes;Terraform,Amazon Web Services (AWS);Digital Ocean;Google Cloud,
Student,Russian Federation,,,,,,,
"Developer, full-stack",Poland,"1,000 to 4,999 employees",8,52000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Chocolatey;Homebrew;MSBuild;npm;NuGet;Yarn,Amazon Web Services (AWS),.NET (5+) 
,,,,,C;C++,,,
DevOps specialist,Egypt,10 to 19 employees,Less than 1 year,90000.0,Bash/Shell (all shells);PHP;PowerShell;Python;SQL,APT;Docker;npm;Yarn,Digital Ocean,
"Developer, full-stack",United States of America,20 to 99 employees,10,128000.0,C#;Dart;JavaScript;Rust;TypeScript,Chocolatey;pnpm,Amazon Web Services (AWS);Google Cloud;Render,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Flutter;Tauri
Student,Indonesia,,,,,,,
Academic researcher,Germany,"1,000 to 4,999 employees",Less than 1 year,55000.0,C;C#;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,APT;Maven (build tool);Pip,,
"Developer, front-end",France,100 to 499 employees,17,55000.0,HTML/CSS;JavaScript;TypeScript,Kubernetes;npm;Vite,Amazon Web Services (AWS),
,Germany,,,,,,,
"Developer, full-stack",South Africa,"1,000 to 4,999 employees",9,931900.0,C#;Java;SQL;TypeScript,Chocolatey;Maven (build tool);npm;Visual Studio Solution;Yarn,Amazon Web Services (AWS),.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ;Spring Framework
"Developer, back-end",,100 to 499 employees,1,,,,,
"Developer, desktop or enterprise applications",Switzerland,20 to 99 employees,3,85000.0,C++;HTML/CSS;MATLAB;Python,,,Qt
"Developer, front-end",Georgia,,,,HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,Chocolatey;npm;Pacman;Pip;pnpm;Vite,Cloudflare;Netlify;Vercel,
"Developer, full-stack",Israel,10 to 19 employees,8,427000.0,HTML/CSS;JavaScript;SQL;TypeScript,Docker;Homebrew;Make;npm;pnpm,Amazon Web Services (AWS),
"Developer, front-end",Australia,"1,000 to 4,999 employees",8,179000.0,C#;HTML/CSS;JavaScript;TypeScript,Kubernetes;npm;NuGet;Webpack,Amazon Web Services (AWS),.NET (5+) 
"Developer, full-stack",,2 to 9 employees,1,,,,,
Research & Development role,Sweden,"1,000 to 4,999 employees",4,618000.0,C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,APT;Docker;npm;pnpm;Vite;Yarn,Microsoft Azure,.NET (5+) 
,,,,,,,,
Project manager,Austria,2 to 9 employees,20,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL,Ant;Docker;Maven (build tool);Pip,Hetzner,Hadoop;NumPy;Spring Framework
"Developer, back-end",Germany,20 to 99 employees,25,72000.0,PHP,Composer;Docker;Make;npm,Amazon Web Services (AWS),
"Developer, front-end",Ukraine,"10,000 or more employees",1,700.0,HTML/CSS;JavaScript;SQL;TypeScript,Docker;npm;pnpm;Vite;Webpack;Yarn,Firebase;Heroku;Vercel,RabbitMQ
,,,,,,,,
,,,,,Bash/Shell (all shells);C;C++;PowerShell,,,
System administrator,Germany,100 to 499 employees,8,55000.0,C;C++;Elixir;Erlang;Go;Java;Lua;Ruby;Rust;Scala;SQL,Docker;Kubernetes;Make;Pacman;Puppet,,Qt
"Developer, mobile",Israel,20 to 99 employees,29,,Dart,,Firebase,Flutter
"Developer, desktop or enterprise applications",France,"Just me - I am a freelancer, sole proprietor, etc.",27,,Bash/Shell (all shells);C;C++;HTML/CSS;PowerShell;Python;Rust;SQL;Swift,Homebrew;Ninja,Digital Ocean,NumPy;Opencv;OpenGL;Qt;SwiftUI
Hardware Engineer,Finland,"10,000 or more employees",5,5000.0,Assembly;Bash/Shell (all shells);C;C++;GDScript;Python;Ruby,Chocolatey;Google Test;Gradle;Homebrew;Make;Ninja;Pip;Visual Studio Solution,,CUDA;DirectX;NumPy;OpenCL;OpenGL;Torch/PyTorch
,Brazil,"Just me - I am a freelancer, sole proprietor, etc.",30,,C;C++;HTML/CSS;JavaScript;MicroPython;Python,Make;Unreal Engine,,
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,"Just me - I am a freelancer, sole proprietor, etc.",,,C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Composer;Docker;Homebrew;Pip,Amazon Web Services (AWS);Databricks;Hetzner,
Product manager,Germany,,,,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,MSBuild;NuGet;Visual Studio Solution,Amazon Web Services (AWS),.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;OpenGL;RabbitMQ;Xamarin
"Developer, full-stack",,"10,000 or more employees",1,,,,,
"Developer, AI",Canada,,,,Python,,,
"Developer, desktop or enterprise applications","Venezuela, Bolivarian Republic of...",10 to 19 employees,29,30000.0,Bash/Shell (all shells);Dart;Java;JavaScript;Scala;TypeScript,Docker;Kubernetes;npm,Google Cloud;Microsoft Azure,Flutter
"Developer, back-end",United States of America,100 to 499 employees,4,88500.0,Bash/Shell (all shells);C;C++;Go;SQL,Make,,
"Developer, back-end",Germany,100 to 499 employees,18,78000.0,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;R;TypeScript,APT;Bun;Docker;Gradle;npm;Vite,Amazon Web Services (AWS),
"Developer, full-stack",United States of America,"5,000 to 9,999 employees",28,180000.0,C#,MSBuild,Google Cloud;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Xamarin
"Developer, full-stack",Netherlands,2 to 9 employees,8,100000.0,Dart;Go;Groovy;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,Docker;Gradle;Pip,Firebase;Google Cloud;Supabase,Electron;Flutter;React Native
Research & Development role,,100 to 499 employees,3,,Bash/Shell (all shells);Go;Java;Python;Solidity,Ansible;Docker;Homebrew;Kubernetes;Make,Amazon Web Services (AWS);Google Cloud;Hetzner,NumPy;Pandas
,,,,,,,,
Data scientist or machine learning specialist,Austria,"10,000 or more employees",1,17500.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,APT;Docker;Kubernetes;npm;Pip,,Hugging Face Transformers;mlflow;NumPy;Pandas;Scikit-Learn;Torch/PyTorch
"Developer, full-stack",France,"1,000 to 4,999 employees",7,50000.0,Groovy;HTML/CSS;Java;PowerShell;Python;SQL;TypeScript,Chocolatey;Maven (build tool);npm;NuGet;Yarn,,
"Developer, full-stack",Greece,2 to 9 employees,8,35500.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,npm;NuGet;Webpack,Digital Ocean,.NET Framework (1.0 - 4.8)
Designer,Netherlands,,10,,HTML/CSS;PHP,,,
"Developer, back-end",Belarus,500 to 999 employees,Less than 1 year,,C;MATLAB,,,
"Developer, full-stack",United States of America,100 to 499 employees,3,52000.0,HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;SQL;TypeScript,Bun;Chocolatey;npm,Managed Hosting,Electron;React Native
"Developer, QA or test",Czech Republic,100 to 499 employees,10,150000.0,SQL;TypeScript,,Amazon Web Services (AWS),
,,,,,,,,
"Developer, mobile",Denmark,"10,000 or more employees",6,723000.0,Bash/Shell (all shells);C;C#;C++;Java;Kotlin,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);MSBuild;npm;NuGet;Visual Studio Solution;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,.NET (5+) ;.NET MAUI;React Native;SwiftUI;Xamarin
"Developer, back-end",United States of America,"5,000 to 9,999 employees",20,250000.0,Bash/Shell (all shells);JavaScript;Python;SQL,Ansible;Docker;Make;Pip;Podman,Amazon Web Services (AWS);VMware,
"Developer, full-stack",Uzbekistan,20 to 99 employees,12,20000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Docker;MSBuild;npm;NuGet;Visual Studio Solution;Vite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Ionic;RabbitMQ
"Developer, back-end",Lithuania,"10,000 or more employees",7,80000.0,Java;Scala,Ant;Docker;Gradle;Maven (build tool);npm;Pacman;Pip,,
"Developer, full-stack",France,500 to 999 employees,14,95000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bun;Docker;Make;Maven (build tool);npm;Pacman;Pip;Vite;Webpack;Yarn,Amazon Web Services (AWS);Google Cloud;Heroku;OVH,Electron;GTK;JAX;OpenGL;Quarkus
"Developer, full-stack",United States of America,20 to 99 employees,15,125000.0,HTML/CSS;JavaScript;PHP;SQL,Composer;npm;Podman;Webpack,Amazon Web Services (AWS);Digital Ocean;Firebase,
,,,,,,,,
"Developer, full-stack",,2 to 9 employees,1,,,,,
"Senior Executive (C-Suite, VP, etc.)",Poland,,,,Apex;C;C++;Delphi;HTML/CSS;Java;JavaScript;MATLAB;Perl;PHP;Python;SQL;Visual Basic (.Net),Ant;APT;Docker;Gradle;Kubernetes;Maven (build tool);npm;Terraform,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),.NET (5+) ;Hadoop
Student,Italy,,2,,C;C#;Erlang;HTML/CSS;Java;JavaScript;PHP;Python;SQL,APT;Chocolatey;Composer;Docker;npm;Pip;Vite,Google Cloud,Pandas
"Developer, back-end",,20 to 99 employees,4,,,,,
"Developer, full-stack",Canada,20 to 99 employees,5,,Bash/Shell (all shells);C#;GDScript;Go;Groovy;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript,Chocolatey;Docker;Godot;MSBuild;npm;NuGet;Pip;Podman;Terraform;Webpack,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;React Native
,,,,,,,,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,18,41000.0,JavaScript;PHP;SQL,Composer,Cloudflare;Digital Ocean;Managed Hosting,
"Developer, mobile",Thailand,100 to 499 employees,10,1080000.0,JavaScript;Kotlin;Swift,Gradle;Homebrew;npm;Pip;Yarn,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure,Ktor;SwiftUI
Cloud infrastructure engineer,United States of America,"1,000 to 4,999 employees",20,95000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;Ruby;SQL;TypeScript,Ansible;Docker;Homebrew;npm;Yarn,"Amazon Web Services (AWS);Digital Ocean;Linode, now Akamai;VMware",
"Developer, full-stack",Serbia,"1,000 to 4,999 employees",2,1800000.0,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,APT;Composer;Docker;Make;npm;NuGet;Pip;Webpack,VMware,.NET (5+) 
"Developer, back-end",Germany,20 to 99 employees,12,107719.0,Bash/Shell (all shells);Python;Rust,Ansible;Docker;Make;Pacman;Pip,Hetzner,
Data or business analyst,United States of America,20 to 99 employees,16,691173839.0,,,,
"Developer, full-stack",United States of America,2 to 9 employees,11,190000.0,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Composer;Docker;Kubernetes;npm;Vite,Digital Ocean;Google Cloud,Flutter
,,,,,,,,
,,,,,,,,
"Developer, full-stack",Indonesia,2 to 9 employees,14,45000000.0,C;C#;C++;Dart;Go;Java;JavaScript;Rust;SQL;TypeScript;Visual Basic (.Net),APT;Composer;Docker;Gradle;Homebrew;Kubernetes;Make;MSBuild;npm;Visual Studio Solution;Webpack;Yarn,Alibaba Cloud;Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Managed Hosting;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);Vultr,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Flutter
"Developer, mobile",United Kingdom of Great Britain and Northern Ireland,I don’t know,16,,Bash/Shell (all shells);Objective-C;Swift,,,SwiftUI
"Developer, back-end",Russian Federation,100 to 499 employees,4,1800000.0,Groovy;Java;SQL,Maven (build tool),,
Engineering manager,United States of America,100 to 499 employees,20,140000.0,HTML/CSS;JavaScript;Python;TypeScript,Homebrew;Make;npm;pnpm;Vite;Webpack;Yarn,"Amazon Web Services (AWS);Cloudflare;Google Cloud;Linode, now Akamai;Managed Hosting;Netlify;Vercel",
"Developer, back-end",,20 to 99 employees,2,,,,,
,,,,,,,,
System administrator,Germany,100 to 499 employees,19,60000.0,Bash/Shell (all shells);Python,,,CUDA;OpenCL
Student,Germany,,,,Assembly;Bash/Shell (all shells);C;C++;GDScript;Haskell;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,Godot;Make;npm;Pacman;Vite,,GTK;OpenGL
Academic researcher,Netherlands,"5,000 to 9,999 employees",8,55000.0,JavaScript;Lisp;Python;SQL,Docker;Homebrew;Make;Pip,Amazon Web Services (AWS),Hugging Face Transformers;Pandas;Torch/PyTorch
,,,,,,,,
"Developer, back-end",Czech Republic,10 to 19 employees,12,1680000.0,Java;Ruby;TypeScript,Docker;Maven (build tool);npm,,
"Developer, front-end",Republic of North Macedonia,"1,000 to 4,999 employees",4,2000000.0,HTML/CSS;JavaScript,,,
"Developer, back-end",Indonesia,2 to 9 employees,10,,HTML/CSS;Java;JavaScript;PHP;Ruby;SQL;TypeScript;Visual Basic (.Net),npm;Webpack;Yarn,Heroku;Netlify;Vercel,
"Developer, embedded applications or devices",Poland,"5,000 to 9,999 employees",10,,C;C++,Gradle;Make;Ninja;Pip,Amazon Web Services (AWS);Heroku,React Native
,,,,,C#;C++;Java;JavaScript;Python,,,
"Developer, full-stack",Sweden,20 to 99 employees,13,687600.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Docker;MSBuild;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Roslyn
DevOps specialist,Sweden,20 to 99 employees,22,,Bash/Shell (all shells);PowerShell;Python,Docker;Homebrew;Kubernetes;Make;Maven (build tool);Pip;Podman,Microsoft Azure;OpenShift,
Developer Advocate,El Salvador,20 to 99 employees,9,86400.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Docker;npm;Pip;Podman;Terraform;Webpack;Yarn,Amazon Web Services (AWS),NumPy;Pandas
Student,India,,5,,Assembly;C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Prolog;Python;SQL;TypeScript,Pip;Unity 3D,Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure;Vercel,Keras;NumPy;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, front-end",France,"1,000 to 4,999 employees",9,47000.0,C++;JavaScript;TypeScript,Chocolatey;npm;Pip;Vite;Webpack,Amazon Web Services (AWS);Digital Ocean;OVH,
"Developer, full-stack",Italy,I don’t know,24,,C#;Groovy;HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net),Gradle;NuGet;Visual Studio Solution,,.NET Framework (1.0 - 4.8)
"Developer, full-stack",United States of America,"Just me - I am a freelancer, sole proprietor, etc.",42,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Ansible;Docker;Kubernetes;Maven (build tool);npm,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,Spring Framework
Other (please specify):,Greece,,2,,C;C++;Dart;HTML/CSS;JavaScript;Python;SQL,Gradle;Make;Maven (build tool);npm;Pip,,CUDA;Flutter;NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch
Academic researcher,Russian Federation,,,,Bash/Shell (all shells);JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript,Ansible;APT;Docker;Homebrew;Kubernetes;npm;Pip;Podman,,CUDA;Keras;NumPy;Opencv;Pandas;Qt;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, back-end",United States of America,20 to 99 employees,12,225000.0,Python;Ruby;SQL,Docker;Terraform,Amazon Web Services (AWS),
"Developer, front-end",Russian Federation,10 to 19 employees,2,700000.0,HTML/CSS;JavaScript,npm;Webpack,Heroku;Netlify;Vercel,
"Developer, front-end",Germany,2 to 9 employees,4,55000.0,,,,
"Developer, full-stack",United States of America,,30,,,,,
,,,,,Bash/Shell (all shells);Python,,,
"Developer, front-end",United States of America,"1,000 to 4,999 employees",3,55000.0,C#;Java;JavaScript;SQL;Visual Basic (.Net),NuGet,,.NET Framework (1.0 - 4.8)
Student,France,,,,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL,APT;Docker;Make;Nix;npm;Pacman;Pip,Digital Ocean,NumPy;Qt
Data or business analyst,United States of America,500 to 999 employees,10,145000.0,Python;SQL,,Amazon Web Services (AWS),NumPy;Pandas
,,,,,,,,
,,,,,,,,
Marketing or sales professional,United States of America,20 to 99 employees,8,225000.0,Python;SQL,Docker;Homebrew;Kubernetes;Pip;Terraform,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Pandas;Ruff
Scientist,Germany,20 to 99 employees,4,,,,,
Security professional,Germany,"Just me - I am a freelancer, sole proprietor, etc.",17,,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;GDScript;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;PHP;PowerShell;Python;Rust;SQL;Swift;TypeScript,Ansible;APT;Chocolatey;Docker;Godot;Gradle;Homebrew;Kubernetes;Nix;npm;Pacman;Pip;pnpm;Podman;Terraform;Vite;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Managed Hosting;Oracle Cloud Infrastructure (OCI);Supabase;VMware,.NET (5+) ;.NET Framework (1.0 - 4.8);CUDA;Electron;Flutter;GTK;OpenGL;Qt;SwiftUI;TensorFlow
Research & Development role,Brazil,20 to 99 employees,9,,C#;Delphi;HTML/CSS;Java;Lua;PHP;Visual Basic (.Net),Ant;Docker;Homebrew;Kubernetes;npm;Pip;pnpm;Podman;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Firebase;Heroku;Microsoft Azure;Supabase;VMware,Apache Kafka;Capacitor;Electron;Hadoop;Ionic;NumPy;Pandas;RabbitMQ;React Native;Scikit-Learn;SwiftUI
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,"5,000 to 9,999 employees",11,96000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Ansible;APT;Chocolatey;Docker;Kubernetes;Make;Maven (build tool);MSBuild;npm;NuGet;Podman;Terraform,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);OpenGL;Spring Framework
,,,,,Python,,Cloudflare,
,,,,,,,,
,,,,,Java;Python;R;VBA,,,Apache Kafka;Hadoop
,,,,,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;TypeScript,,,RabbitMQ;React Native;Scikit-Learn;TensorFlow
Student,China,,3,,C++;Python,Make,,NumPy;Torch/PyTorch
Engineering manager,Germany,100 to 499 employees,15,,C#;JavaScript;Python;TypeScript,Make;npm;Terraform,Amazon Web Services (AWS),.NET (5+) ;Pandas
,,,,,Python;Ruby;SQL,,Google Cloud;Heroku,
"Developer, full-stack",,I don’t know,1,,Apex;C#;C++;JavaScript;Lua;TypeScript,Docker;Homebrew;npm;pnpm;Vite;Webpack;Yarn,Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku,React Native
"Developer, back-end",,,14,,Java;JavaScript;SQL,Docker;Maven (build tool);npm,Microsoft Azure,Quarkus;RabbitMQ
"Developer, mobile",,20 to 99 employees,Less than 1 year,,Java,,,Apache Kafka;RabbitMQ;Spring Framework
"Developer, game or graphics",Malaysia,,,,C#;C++;GDScript;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;PowerShell;Python;TypeScript;VBA;Visual Basic (.Net),Chocolatey;Godot;Gradle;Maven (build tool);NuGet;Pip;Unity 3D,Firebase;Heroku;Netlify,.NET (5+) ;.NET Framework (1.0 - 4.8);OpenCL;Opencv;OpenGL
"Developer, front-end",United States of America,500 to 999 employees,6,110000.0,HTML/CSS;JavaScript;PowerShell;TypeScript,Docker;Homebrew;npm;Vite;Webpack,Microsoft Azure,Ionic
"Developer, desktop or enterprise applications",,"10,000 or more employees",10,,,,,
"Developer, full-stack",United States of America,20 to 99 employees,13,230000.0,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;SQL;TypeScript,npm;Vite;Webpack,,
Other (please specify):,,100 to 499 employees,14,,,,,
"Developer, back-end",Belgium,20 to 99 employees,20,,Dart;JavaScript;PHP;SQL;TypeScript,Docker;Homebrew;Make;npm;Podman;Vite;Yarn,Digital Ocean;Firebase;Google Cloud,Flutter;RabbitMQ
,,,,,Python,,,
"Developer, mobile",Turkey,,,,Dart;Python,Unity 3D,,Flutter;NumPy;Pandas;Torch/PyTorch;Xamarin
,,,,,C#;Go;Python,,,
"Developer, back-end",France,100 to 499 employees,9,85000.0,Python;SQL,Docker;Pacman;Pip,Cloudflare;Google Cloud,Ruff
"Developer, full-stack",India,10 to 19 employees,2,6000000.0,JavaScript,,Heroku;Netlify;Render;Vercel,
"Developer, mobile",France,,,,Kotlin;Swift,Gradle,,
,,,,,,,,
"Developer, full-stack",Portugal,500 to 999 employees,17,80000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;TypeScript,Ant;Docker;Gradle;Homebrew;Pip;pnpm;Podman;Vite;Webpack;Yarn,Amazon Web Services (AWS);Firebase;Google Cloud,Capacitor;Ionic;React Native
"Developer, full-stack",United States of America,500 to 999 employees,26,188000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL,MSBuild;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",Switzerland,"1,000 to 4,999 employees",20,120000.0,Go;HTML/CSS;JavaScript;SQL,Docker;Homebrew;Kubernetes;Make,Google Cloud,
"Developer, full-stack",Romania,100 to 499 employees,24,48000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL,Composer;Docker;npm;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud;Managed Hosting;Microsoft Azure,
