DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
Engineering manager,120000000.0,C;C++;Go;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Go;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Oracle;PostgreSQL,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Digital Ocean;Google Cloud;Heroku,,Angular;AngularJS;Django;Express;FastAPI;jQuery;Laravel;Next.js;Spring Boot;Vue.js;WordPress,Express;FastAPI;Spring Boot,CMake;GNU GCC;LLVM's Clang;Rasberry Pi,Rasberry Pi,NumPy;Pandas,Pandas,Ansible;APT;Composer;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm;Pip;Terraform,Docker;Kubernetes;Make;Maven (build tool);Podman;Terraform,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Healthcare,3.0
DevOps specialist,81000000.0,Bash/Shell (all shells);Python,Bash/Shell (all shells);Python,MongoDB;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,,,Rasberry Pi,Arduino;CMake;GNU GCC;LLVM's Clang;Rasberry Pi,RabbitMQ,NumPy,Ansible;APT;Docker;Kubernetes;Terraform,Ansible;APT;Kubernetes;Terraform,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,"Internet, Telecomm or Information Services",6.0
"Developer, back-end",126000000.0,Bash/Shell (all shells);Go;JavaScript;Ruby;SQL,Bash/Shell (all shells);Go;SQL,Dynamodb;MySQL;PostgreSQL;Redis,Dynamodb;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),jQuery,Htmx;jQuery,,,RabbitMQ,,Docker;Homebrew;Make;Maven (build tool);npm;Yarn,Docker;Homebrew;Make;Yarn,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Retail and Consumer Services,6.0
"Developer, full-stack",67500000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;PHP;Python;TypeScript,MariaDB,MariaDB;PostgreSQL;Redis,,,Laravel;Vue.js,Laravel;Svelte;Vue.js,,,,,Composer;Docker;npm,Composer;Docker;npm;Vite,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Computer Systems Design and Services,7.0
Academic researcher,36000000.0,C;Python,C;Python,,,,,,,Arduino,Arduino;Rasberry Pi,NumPy,NumPy,Make,,None of these,Hybrid (on-prem and cloud),A coworker,Higher Education,8.0
"Developer, full-stack",57600000.0,Dart;HTML/CSS;JavaScript;SQL;TypeScript,Dart;HTML/CSS;JavaScript;Rust;SQL;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;Next.js;Node.js;React,NestJS;Node.js;Vue.js,,,Flutter,Flutter,Docker;npm;pnpm;Terraform;Yarn,pnpm;Terraform,DevOps function;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,6.0
Engineering manager,80000000.0,C++;Java;JavaScript;Python,Dart;Java;JavaScript;Python;Rust,MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Digital Ocean,Amazon Web Services (AWS);Google Cloud,jQuery;Next.js;Node.js;React;Spring Boot;WordPress,Next.js;Node.js;React;Spring Boot;Vue.js,,,Apache Kafka;NumPy;Pandas,Apache Kafka;Flutter;NumPy;Pandas;Spring Framework;Torch/PyTorch,Gradle;Homebrew;npm;Pip,Gradle;Homebrew;Kubernetes;npm;Pip;Webpack;Yarn,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,AI-powered search (free),Software Development,8.0
"Developer, full-stack",94500000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL;Redis,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Heroku;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Vercel,Django;NestJS;Next.js;Node.js;React;Vue.js;WordPress,NestJS;Next.js;React,Rasberry Pi,,React Native,React Native,Docker;Gradle;Homebrew;npm;Yarn,Docker;npm;Yarn,Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Fintech,8.0
"Developer, back-end",114000000.0,Bash/Shell (all shells);C++;Go;Java;Python;Rust;SQL,C++;Go;Java;Rust,Elasticsearch;MySQL;PostgreSQL;Redis,MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud,,Vue.js,Vue.js,GNU GCC,GNU GCC,Apache Kafka;Torch/PyTorch,CUDA,Maven (build tool);Pip,Maven (build tool),DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (paid),"Internet, Telecomm or Information Services",8.0
"Developer, front-end",105000000.0,HTML/CSS;JavaScript;TypeScript,Go;HTML/CSS;Java;JavaScript;TypeScript,,,,,Next.js;React,Express;FastAPI;Next.js;Node.js;React,,,,,Yarn,,Automated testing;AI-assisted technology tool(s),Cloud only (single or multi-cloud),Traditional public search engine,,7.0
"Developer, full-stack",150000000.0,C;Go;Java;Rust;TypeScript,Rust,MongoDB;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud,Amazon Web Services (AWS),Angular;NestJS;Node.js;React;Spring Boot,React,,,Flutter,Flutter,Docker;Gradle;Homebrew;Kubernetes;Make;npm;Podman;Terraform;Vite;Webpack;Yarn,Docker;Kubernetes;Make;npm;Terraform;Vite,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,9.0
"Developer, full-stack",18000000.0,C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;PHP;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL,,,Laravel;Vue.js,Laravel;Vue.js,Arduino,Arduino,TensorFlow,TensorFlow,,,Microservices,Cloud only (single or multi-cloud),Traditional public search engine,Healthcare,8.0
"Developer, full-stack",96900000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,,,Angular;Django,Angular;Django,,,,,Docker;npm;Pip,Docker;npm;Pip,None of these,Cloud only (single or multi-cloud),Traditional public search engine,Computer Systems Design and Services,9.0
"Developer, full-stack",90000000.0,C#;Java,HTML/CSS;JavaScript;PHP;SQL,Microsoft SQL Server;Oracle,MariaDB;MySQL,,,,,,,.NET Framework (1.0 - 4.8),,Composer;Visual Studio Solution,,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Banking/Financial Services,5.0
"Developer, back-end",300000000.0,C++;Go;Java;Kotlin,Go;Java;Kotlin,,,Google Cloud,Google Cloud,,,,,,,,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Internal Developer portal,Software Development,7.0
"Developer, front-end",40000000.0,HTML/CSS;JavaScript;SQL;TypeScript,,MongoDB;MySQL,,Microsoft Azure,Digital Ocean;Google Cloud,Express;Node.js;React,Next.js,Rasberry Pi,,React Native,,Docker;Homebrew;Kubernetes;npm;Webpack;Yarn,,Observability tools;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (paid),Software Development,10.0
"Developer, back-end",105000000.0,Java;Rust;SQL;TypeScript,Java;Rust;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Spring Boot,React;Spring Boot,,,,,Docker;Gradle;Kubernetes;Maven (build tool);npm;Yarn,Docker;Gradle;Kubernetes;Maven (build tool),DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,10.0
Cloud infrastructure engineer,5250000.0,Go;JavaScript,,MongoDB;MySQL;PostgreSQL;Redis,MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;AngularJS;jQuery;Laravel;WordPress,,,,,,Ansible;Composer;Docker;Homebrew;Kubernetes;Terraform,Ansible;Docker;Homebrew;Kubernetes;Podman;Terraform,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Other:,Software Development,9.0
"Developer, full-stack",6750000.0,Go;HTML/CSS;Java;JavaScript;PHP;SQL,Dart;Go;HTML/CSS;JavaScript;PHP;Python;SQL,MongoDB;MySQL;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,jQuery;Laravel,jQuery;Laravel;Node.js,,,RabbitMQ,Apache Kafka;RabbitMQ,APT;Chocolatey;Composer;Docker;Make,APT;Composer;Docker,AI-assisted technology tool(s);Microservices,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,7.0
"Developer, back-end",225000000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL,TypeScript,PostgreSQL,,Microsoft Azure,,ASP.NET CORE;Vue.js,Blazor,,,.NET (5+);RabbitMQ,.NET (5+),Chocolatey;Docker;Kubernetes;npm;NuGet;Visual Studio Solution;Yarn,Docker;Kubernetes;npm;Visual Studio Solution;Yarn,DevOps function;Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Fintech,8.0
"Developer, front-end",105000000.0,TypeScript,TypeScript,,,Microsoft Azure,Amazon Web Services (AWS);Google Cloud,Node.js;React,React,,,,,Docker;npm;Vite;Webpack;Yarn,Docker;npm;Vite;Webpack;Yarn,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Internet, Telecomm or Information Services",8.0
"Developer, full-stack",94920000.0,HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;SQL,MySQL;PostgreSQL,MySQL;PostgreSQL,Digital Ocean;Google Cloud,,Express;jQuery;Node.js;React,Node.js;React;Svelte,,,,,Docker;Make;npm;Vite,Docker;npm;Vite,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Fintech,8.0
"Developer, full-stack",157500.0,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Elixir,Elasticsearch;MongoDB;PostgreSQL;SQLite,PostgreSQL;SQLite,,,React,Htmx,,,,,Ansible;Docker;npm;Vite,Docker;Godot;Vite,Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,7.0
"Developer, full-stack",42000000.0,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);C#;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE;Laravel;NestJS;WordPress,Angular;ASP.NET CORE;Blazor,Arduino;Rasberry Pi,Arduino;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Composer;Docker;MSBuild;npm;NuGet,Docker;MSBuild;npm;NuGet,DevOps function;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",127680000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript,MySQL;PostgreSQL,MySQL;PostgreSQL;SQLite,Vercel,Amazon Web Services (AWS);Cloudflare;Google Cloud,Angular;Express;NestJS;Next.js;Node.js;React,Angular;Express;NestJS;Node.js;React;Svelte,Rasberry Pi,Rasberry Pi,,,Docker;Homebrew;npm;pnpm;Vite;Webpack,Bun;Docker;Godot;Homebrew;Maven (build tool);npm;pnpm;Vite;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",240000000.0,HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,HTML/CSS,MongoDB;PostgreSQL;Redis;SQLite,PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),Django;FastAPI;Next.js,,,,Apache Kafka;NumPy;Pandas;Scikit-Learn;TensorFlow,,APT;Docker;Homebrew;Kubernetes;Make;npm;Pip;Podman;Terraform;Vite;Webpack,Docker;Kubernetes;Terraform,Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",150000000.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;Redis;SQLite,MariaDB;MongoDB;MySQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku,Amazon Web Services (AWS);Google Cloud;Vercel,jQuery;Node.js;Vue.js;WordPress,Node.js;Vue.js,Rasberry Pi,Rasberry Pi,TensorFlow,TensorFlow;Torch/PyTorch,Composer;Docker;Homebrew;Kubernetes;npm;Vite;Webpack;Yarn,Composer;Docker;Homebrew;Kubernetes;npm;Terraform;Vite,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Software Development,8.0
"Developer, back-end",66000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Ruby;Rust;SQL;TypeScript,Rust;Swift,PostgreSQL,,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS),Express;Next.js;React,,Arduino;Rasberry Pi,Arduino;Rasberry Pi,.NET (5+);Apache Kafka;NumPy,Apache Kafka,Composer;Docker;Homebrew;Kubernetes;npm;NuGet;Pip;Webpack;Yarn,Docker;Homebrew;Kubernetes,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,"Transportation, or Supply Chain",10.0
"Developer, front-end",57000000.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,Elasticsearch;PostgreSQL;Redis,Google Cloud,Google Cloud,Angular;Node.js;React,Angular;Next.js;Node.js,,,,,Docker;Kubernetes;Maven (build tool);npm;Vite;Yarn,Docker;Kubernetes;npm;Vite;Yarn,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,6.0
Cloud infrastructure engineer,163200000.0,Python,Python;TypeScript,PostgreSQL,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Django,Django;Htmx;React,,,,Torch/PyTorch,Docker,Docker,Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Slack search,Software Development,8.0
"Developer, back-end",85000000.0,Java,Go;Kotlin,MongoDB,MongoDB,Google Cloud,Google Cloud,React;Spring Boot,React;Spring Boot,,,Apache Kafka;RabbitMQ,,Docker;Gradle,Docker;Gradle,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,7.0
"Developer, back-end",93000000.0,C#;JavaScript;SQL,C#;Rust;SQL,Microsoft SQL Server;MongoDB,Elasticsearch;Microsoft SQL Server;MongoDB,,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,ASP.NET CORE,Angular;ASP.NET CORE;Blazor;Node.js,,,.NET (5+);RabbitMQ,.NET (5+),Docker;Kubernetes;MSBuild;NuGet;Visual Studio Solution,Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution,DevOps function;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
"Developer, full-stack",64600000.0,C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;MariaDB;Microsoft SQL Server;SQLite,MariaDB;Microsoft SQL Server;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;jQuery;Node.js;Vue.js;WordPress,ASP.NET CORE;Express;Node.js;Svelte;Vue.js,,,.NET (5+),,Chocolatey;Composer;npm;NuGet;Vite;Webpack;Yarn,npm;NuGet;Vite,DevOps function;Knowledge sharing community;Developer portal or other central places to find tools/services,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
Engineering manager,850000000.0,,Python;Rust,,,,,,,,,,,,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Banking/Financial Services,7.0
Cloud infrastructure engineer,255000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Ruby;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,Dynamodb;PostgreSQL,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS);Firebase,Node.js;React;Spring Boot,Node.js;React;Spring Boot,Rasberry Pi,Rasberry Pi,Spring Framework,Spring Framework,Docker;Gradle;npm;Pip;Webpack,Docker;Gradle;npm;Pip;Webpack,Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Internal Developer portal,Computer Systems Design and Services,6.0
"Developer, full-stack",58500000.0,C;C++;JavaScript;Python,C;C++,PostgreSQL;SQLite,SQLite,Amazon Web Services (AWS);Google Cloud,,,,Arduino;CMake;LLVM's Clang,Arduino;LLVM's Clang,TensorFlow,CUDA,Chocolatey;Make;MSBuild;Visual Studio Solution,,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
